Depth,GR,DT,DTS,RHOB,NPHI_LIM
473.5,143.9,69.4,124.4,2710.4,17.6
474.0,158.9,72.4,126.5,2668.4,23.0
474.5,159.6,72.0,126.1,2672.0,23.4
475.0,155.1,69.3,119.7,2685.2,23.3
475.5,118.3,66.3,114.1,2677.4,11.5
476.0,112.6,67.4,115.4,2672.5,12.1
476.5,122.8,68.6,119.4,2658.3,14.7
477.0,136.2,69.9,120.5,2687.4,15.6
477.5,136.6,70.1,122.1,2669.5,18.4
478.0,133.1,70.4,122.6,2689.6,17.5
478.5,135.3,70.4,121.9,2665.0,18.5
479.0,121.1,69.1,119.8,2648.9,17.7
479.5,125.9,66.6,114.2,2652.8,17.1
480.0,108.9,64.2,111.1,2710.0,13.4
480.5,112.7,66.2,114.0,2735.6,14.6
481.0,118.1,65.8,112.9,2712.6,16.9
481.5,122.0,66.1,113.6,2709.5,14.2
482.0,130.8,66.2,113.2,2700.7,16.5
482.5,123.8,66.1,114.5,2689.6,13.7
483.0,122.4,66.9,115.6,2651.6,14.5
483.5,127.1,68.9,119.7,2669.3,16.4
484.0,142.3,71.1,122.8,2693.5,19.7
484.5,146.7,70.3,120.9,2691.5,22.0
485.0,143.5,70.8,121.9,2673.5,18.9
485.5,142.5,69.4,119.7,2669.2,22.6
486.0,125.7,69.2,119.6,2672.4,16.5
486.5,117.9,70.1,121.1,2635.3,16.0
487.0,113.2,72.0,124.7,2606.3,15.9
487.5,113.3,72.1,124.4,2585.1,16.6
488.0,119.9,70.5,121.3,2619.3,15.3
488.5,131.4,70.2,120.8,2641.7,16.4
489.0,124.3,71.2,123.6,2645.4,16.7
489.5,144.6,71.9,125.0,2650.3,18.2
490.0,137.9,69.1,119.0,2660.9,17.1
490.5,116.4,66.2,115.8,2746.7,12.4
491.0,141.2,69.3,120.0,2707.8,18.1
491.5,144.8,70.2,120.5,2665.2,19.7
492.0,141.9,69.2,119.5,2677.2,17.7
492.5,133.8,67.8,117.2,2715.0,16.3
493.0,124.3,68.0,117.4,2679.8,16.0
493.5,127.0,69.2,119.5,2667.4,15.9
494.0,130.0,69.2,119.2,2644.5,17.2
494.5,135.6,68.4,118.6,2681.9,16.4
495.0,132.3,68.0,116.7,2676.0,18.0
495.5,133.3,67.7,116.6,2683.5,16.8
496.0,130.1,69.0,119.8,2686.5,15.7
496.5,134.3,70.6,120.2,2636.3,18.4
497.0,124.5,70.7,121.4,2624.0,15.9
497.5,108.8,73.1,126.1,2567.4,15.9
498.0,97.9,74.4,128.3,2559.5,16.9
498.5,103.4,74.1,127.8,2548.1,17.0
499.0,110.2,74.1,128.2,2562.6,17.8
499.5,93.8,74.1,129.1,2547.3,17.2
500.0,91.3,75.2,131.7,2535.8,16.3
